Link to More Information," Project Name 
(Number/Year Loan Approved)  
and Description",A/Ma,Target Resultsb,"Total Project Cost
($ million)","Loan Approval
($ million)c","Eligibility for Green Bonds
($ million)d","Allocated Amount 
($ million)e"," Reflow Amount 
($ million)f "
https://www.adb.org/projects/53271-001/main#main-pds,"Uzbekistan: Central Asia Regional Economic Cooperation Corridor 2 (Bukhara–Miskin–Urgench–Khiva) Railway Electrification Project (4170/FY2021). Add electrification, signaling and telecommunication, and traction power management systems to the recently built railway line between Bukhara, Miskin, Urgench, and Khiva, a total of 465 km.",A and M,"By 2027:
• Travel time for passenger trains between Bukhara and Khiva reduced to 3.0 hours (2021 baseline: 5.2 hours by diesel train).
• Travel time for freight trains between Bukhara and Urgench reduced to 8.0 hours (2021 baseline: 13.0 hours by diesel train).
• Annual freight traffic on the Bukhara–Khiva line increased to 11.8 million tons (2021 baseline: 9.2 million tons).
• Annual passenger traffic on the Bukhara–Khiva line increased to 1,080,000 rides (2021 baseline: 280,000).
• CO2 emissions reduced by 81,000 tons per year (2021 baseline: not applicable).
By 2026:
•  465-km railway line between Bukhara–Khiva electrified (2021 baseline: 0).",445.65,162.00,162.00,63.54, (2.22)
https://www.adb.org/projects/52220-002/main,"Philippines: South Commuter Railway Project, Tranche 1 (4188/FY2022). Construct the 54.6 km Blumentritt–Calamba section of the North–South Commuter Railway connecting Metro Manila and Calamba, located in Laguna Province around 50 km south of Manila. ",M,"Annual GHG emissions reduced by 284,425 metric tons.
By 2029:
• Travel time from Blumentritt, Metro Manila to Calamba, Laguna by public transport reduced to between 45 minutes and 1 hour (2022 baseline: At least 1.0–2.0 hours by bus or 2.5 hours by train).
• 269,000 passengers transported by rail between Blumentritt and Calamba daily (2022 baseline: 0).
By 2028:
• New railway line commissioned.
• 54.6 km of railway line between Blumentritt in Metro Manila and Calamba in Laguna constructed and commissioned (2022 baseline: 0 km).
• 18 stations and essential depot buildings constructed, integrating design features that are friendly to and safe for older people, women, children, and people with disabilities (2022 baseline: 0 stations).
","5,517.20","1,750.00","1,750.00",635.72, (31.16)
https://www.adb.org/projects/52298-002/main,India: Connecting Economic Clusters for Inclusive Growth in Maharashtra (4242/FY2022). Support the further development of the state's strategic core road network by (i) connecting underdeveloped rural communities with city centers and nearby industrial zones; (ii) providing direct and indirect opportunities to the primarily agrarian population; (iii) improving road connectivity of border districts such as Nanded to neighboring states; (iv) improving industrial value chains for small-scale industry by reducing transportation costs; and (v) improving disaster risk and climate change resilience in flood-prone areas.,A,"Annual GHG emissions reduced by 105,050 metric tons.
By 2028:
Transport efficiency, safety, and access to markets and basic social services in Maharashtra improved and sustained.
•  Average travel time on project roads reduced by at least 30% (2022 baseline: 2.03 minutes per km for motorized transport).
•  Average travel time for farmers to transport produce from Nanded to markets reduced by at least 30% (2022 baseline: 2.07 minutes per km for motorized transport).
• People in project areas who reported ease in access to health and education facilities increased by at least 5% (2022 baseline: 68% for health facilities and 58% for education facilities).
• State highways and major district roads of the core road network upgraded and maintained.
• At least 319 km of state highways and 149 km of major district roads upgraded with climate- and disaster-resilient features, as well as features that respond to the needs of the older people, women, children, and people with disabilities (2022 baseline: 0).
• At least 5 km of major district roads constructed with climate- and disaster resilient features, as well as features that respond to the needs of older people, women, children, and people with disabilities (2022 baseline: 0).
• GESI promoted in highway works, schools, health, and social services. 
By 2026:
• Automated traffic survey and traffic direction systems implemented at 10 locations on project roads (2022 baseline: not applicable).",505.00,350.00,95.15,59.80, (1.80)
https://www.adb.org/projects/52234-001/main,"India: Chennai Metro Rail Investment Project (MFF) (4273/FY2022). Expand the existing metro rail network in Chennai, the capital city of Tamil Nadu on the southeast coast of India. It will contribute to the development of three new metro lines (3, 4, and 5) that will connect the central area of Chennai to major destinations in the south and west of the city.",A and M,"Annual GHG emissions reduced by 28,294 metric tons.
By 2031:
•  Average daily ridership of the overall Chennai metro rail system increased to 1.4 million passengers per day, disaggregated by sex (2020 baseline: 113,000 passengers per day).
•  At least 70% metro passengers perceived the metro service as reliable, efficient, and safe; disaggregated by sex (2022 baseline: not applicable).
•  At least 20% of metro passengers at three new major metro stations used interchange facilities during peak hours, disaggregated by sex (2022 baseline: not applicable).
By 2030:
•  At least 20 km of metro infrastructure with climate-resilient features constructed for Lines 3 and 4 (2022 baseline: not applicable).
• 18 metro stations with older people, women, children, differently abled, and transgender-responsive and climate-resilient features constructed for Lines 3 and 4 (2022 baseline: not applicable).
• System components comprising electrical and mechanical parts, traction and power supply, and telecommunication installed for Lines 3 and 5 (2022 baseline: not applicable).","3,645.00",780.00,780.00,225.72, (9.21)
https://www.adb.org/projects/52201-001/main,"Papua New Guinea: Civil Aviation Development Investment Project II (4276/4277/FY2022). Upgrade five national airports for better safety and security, improve the power supply at Port Moresby International Airport, and enhance air navigation and weather services.",A,"By 2028:
•  Project airports comply with CASA safety and security requirements (2020 baseline: 11)
•  CASA certificates R: Airlines experience financial difficulties and cut back services.
• Passengers carried to and from the seven project national airports to increase to 409,365 (2018 baseline: 289,111)
By 2027:
•  Pavement strengthened (improve load carrying capacity) and new terminal building with gender-inclusive design features provided at Aropa, Gurney, Kiunga, and Wewak airports (2020 baseline: 0).
•  Asphalt overlay at Hoskins airport (2020 baseline: 0).
•  Runway extended to 1,800 m at Wewak airport (2020 baseline: 1,600 m).
• Jackson airport powerhouse and high voltage system upgraded (2020 baseline: not applicable).
• Two new control towers constructed, and air traffic management system upgraded (2020 baseline: 1).
• Three weather stations upgraded (2020 baseline: not applicable).
• Air traffic management system upgraded (2020 baseline: not applicable).
• Four rural airstrips improved to all-weather operations (2020 baseline: not applicable).
",171.50,162.90,13.50,0.63, (0.02)
https://www.adb.org/projects/42169-024/main,"Bangladesh: Greater Dhaka Sustainable Urban Transport Project, Additional Financing (4284/FY2022). Develop a sustainable urban transport system in Gazipur City Corporation, which forms part of north Greater Dhaka, through the delivery of a 20-km bus rapid transit (BRT) corridor. ",A,"Annual GHG emissions reduced by 40 metric tons.
By 2024:
•  BRT corridor development benefiting a population of 1 million residents. Positive perception of public transport and urban life quality improves by 50% (2012 baseline: 0).
• BRT achieves 100,000 passengers/day ridership (at least 30% women) in the first year of operation (2012 baseline: 0). 
• Modal share of public transport increases from 40% to 50% (2011 baseline: 40%).
• 20.5 km BRT route, mixed traffic lanes, nonmotorized transport lanes, sidewalks, and terminal and depot in Gazipur completed by 2023 as per design and international quality standards, including safety design features for women, children, and people with disabilities by 2023 (2012 baseline: 0).
• 90% flood-free days along the corridor by 2023 (2012 baseline: 0).
• 20-m stretch in 62 access roads improved for nonmotorized transport by 2023 (2012 baseline: 0).
• 95% of the days will have streetlights in the evening along the corridor by 2023 (2012 baseline: 0).
• Traffic accidents within the corridor per year are reduced by 20% by 2023 (2012 baseline: 53).
• Average travel time by bus from Gazipur to airport decreased by 50% by 2023 (2011 baseline: 80 minutes).
• Municipal infrastructure (10 local markets, 24.10 km drains, and 66 local roads) improved by 2019 (2012 baseline: 0).",132.75,100.00,60.18,29.29, (0.25)
https://www.adb.org/projects/56272-001/main,"India: Nhavae Sheva Container Terminal Financing Project (4290/FY2023). Upgrade the operating container terminal at the Jawaharlal Nehru Port located in Navi Mumbai, Maharashtra on a public–private partnership basis under a 30-year concession. The project includes upgrading and strengthening the existing berths and yard and installing additional equipment such as quay cranes and electric rail mounted quay cranes. ",M,"By 2028: 
 •  Annual volume of containerized cargo throughput increased to 1.4 million TEUs (2022 baseline: 0.44 million TEUs).  
•  Average berth stay of vessels reduced to 0.94 days (2022 baseline: 1.25 days). 
 •  Monthly Gross Berth Output increased to 28 moves per hour (2022 baseline: 22 moves per hour).  
 •  Greenhouse gas emission of 4,977 tons per year reduced (2022 baseline: not applicable) (OP 3.1). 
By 2026:  
 •  Annual cargo logistics handling capacity increased to 1.8 million TEUs per year (2022 baseline: 1.5 million TEUs) (OP 7.1.1). 
 •  Jawaharlal Nehru Port Container Terminal’s 400-meter berth, 200-meter berth, and associated equipment upgraded (2022 baseline: n/a) (OP 7.1.1). 
 •  Shore power supply facility installed (2022 baseline: not applicable) (OP 3.3.1).  
 •  5 electric quay cranesi installed (2022 baseline: 2).  
 By 2028: 
 •  30% of electricity utilized in the terminal is from renewable sources (2022 baseline: 0) (OP 3.3.2). ",187.10,64.10,40.00,0.00, -   
https://www.adb.org/projects/56339-001/main,Bangladesh: Flood Reconstruction Emergency Assistance Project (4305/FY2023). Assist the government's rehabilitation and reconstruction efforts in the districts affected by the devastating floods last May to June 2022.,A and M,"By 2027: 
 •  At least 79,233 ha with reduced flood risk (2022 baseline: 0) (OP 3.2.1).   
 •  Yield rate of boro rice production in Sylhet Division increased by 5% (FY2020 baseline: 1.711 t/ha) (OP 5.2.3, OP 5.3.1, OP 5.3.2). 
 •  At least 90% of households in project intervention area provided with stable, safe, and clean water supply throughout the year (2023 baseline: 60%) (OP 1.3, OP 2.4.1). 
 •  At least 10,000 ha of land improved through climate-resilient irrigation infrastructure and water delivery services (2022 baseline: 0) (OP 5.3.1). 
By 2026: 
 •  757 km of rural roads with associated culverts and bridges rehabilitated and reconstructed with climate resilience and safety features (2022 baseline: 0) (OP 3.2.5, OP 5.1.1).  
 •  34 km of rail track with associated culverts and bridges rehabilitated and reconstructed with climate resilience and safety features (2022 baseline: 0) (OP 3.2.5, OP 5.1.1). 
 •  80 km of river embankment with 3.8 km flood prevention walls and 15 flood fuses rehabilitated and reconstructed with climate-resilient design (2022 baseline: 0) (OP 3.2.5). 
 •  14 km of submersible embankment and 4 irrigation regulators and sluices rehabilitated and reconstructed (2022 baseline: 0) (OP 3.2.5). 
 •  11,900 tube wells rehabilitated and reconstructed with flood-resilient design (e.g., raised platform and submersible pump) (2022 baseline: 0) (OP 1.3, OP 2.4.1, OP 2.5.2). 
",289.17,230.00,148.21,29.00, -   
https://www.adb.org/projects/56107-001/main,"Georgia: Tegeta Green Vehicles Bond Project (7781/FY2023). Finance the inventory of green electric light vehicles and road and nonroad vehicles, and the expansion of the electric vehicle charging network in Georgia; thus promoting the adoption of electric vehicles with zero emissions in the country.",M,"By 2025 
• Annual amount of greenhouse gas emissions savings from use of electric vehicles is at least 1,636 tCO2e per year (2022 baseline: 0) (OP 3.1).
• Annual number of vehicle users using the electric charging network increased to 300 (2022 baseline: 50) (OP 4.1).
•  Total initial inventory of sold new electric vehicles funded by the proceeds of the green bond increased to at least 100 (2022 baseline: 0) (OP 3.1.3, OP 4.3.1).
•  Total number charging points for electric vehicles increased to at least 100 (2022 baseline: 30) (OP 3.1.3, OP 4.3.1).",7.69,7.69,7.69,0.00, -   
https://www.adb.org/projects/48434-004/main,"India: Visakhapatnam–Chennai Industrial Corridor Development Program, Tranche 2 (4312/FY2023). Foster industrial agglomeration with holistic infrastructure support, investment promotion, and skills development. Strengthen climate and disaster resilience and integrate industrial and urban planning for more competitive and livable cities.",A,"By 2024:
•  45 km of internal roads improved, with gender-responsive design features and 47 km of storm water drains constructed in industrial clusters (2015 baseline: 0).
•  Four MLD common effluent treatment plants constructed in industrial clusters (2015 baseline: 0).
•  123 km of pipelines, 27 MLD water treatment plants, and 9,100 million liters of storage tanks constructed in industrial clusters (2015 baseline: 0).
•  93.6 km of state highways widened, with gender-responsive design features (2015 baseline: 0).
•  One 400 by 220 kV, five 220 by 132 kV, and four 132 by 33 kV new substations with a capacity of about 3,170 MVA and related transmission network comprising about 240 km of overhead and 41 km of underground transmission and distribution lines of 400, 220, and 132 kV installed for industrial clusters (2015 baseline: 0).
•  365 km of new drinking water pipelines constructed or rehabilitated and 64,800 water meters installed in Visakhapatnam (2015 baseline: 0).
•  Climate change resilience plan for Visakhapatnam prepared and adopted for integrated water management solution (2015 baseline: not applicable).",214.80,141.12,44.46,0.00, (0.06)
https://www.adb.org/projects/52097-003/main,"Nepal: South Asia Subregional Economic Cooperation Highway Enhancement Project (Kakarbhitta–Laukahi) (4316/FY2023). Upgrade to a two-lane dual carriageway to accommodate the increasing traffic demand, with improved geometry, pavement, drainage, road safety, and climate- and disaster-resilient features. ",A and M,"By 2029:
•  Total border crossing traffic on the project road increased by 20% (2022 baseline: average daily traffic of 1,200 vehicles per day).
•  Average daily vehicle-km along the project road increased
by 33% (2022 baseline: 2,226,946 vehicle-km).
•  Average travel time on the project road reduced by 33%
(2022 baseline: 1.45 minutes per km).
•  Total road fatalities along the project road reduced by 20% (2022 baseline: 64 cases per 100,000 vehicle-km).
By 2028:
•  National highway network upgraded and maintained.
•  At least 95 km of road from Kakarbhitta to Laukahi upgraded to four lanes and designed to 100 km per hour standard, with GESI-responsive, disaster-resilient, and climate change adaptation features (2022 baseline: not applicable) (OP 1.3.1, OP 3.2.5, OP 5.1.1, OP 7.1.1).
•  Road safety with GESI-responsive design features installed, including at least 20 locations with traffic signal lights, 20 km of footpaths with streetlights, 6 overhead pedestrian crossings, 45 road zebra crossings, and 90 bus stops (2022 baseline: 0) (OP 1.3.1, OP 2.4.1, OP 3.2.5, OP 5.1.1, OP 7.1.1).",362.47,300.00,115.46,16.34, -   
https://www.adb.org/projects/46452-005/main,"Bangladesh: South Asia Economic Cooperation Chittagong–Cox's Bazar Railway Project, Phase 1, Tranche 3 (4321/FY2023). Construct the new 102-km Dohazari–Cox's Bazar section of the Chattogram–Cox's Bazar railway corridor in Southeastern Bangladesh.",A and M,"By 2024:
• 10 passenger trains operating daily between Chittagong and Cox's Bazar (2016 baseline: 0).
• 2.9 million annual passengers transported between Chittagong and Cox's Bazar (2016 baseline: 0).
• Cox's Bazar district connected to the national and subregional railway network (2016 baseline: not connected).
","2,013.00",400.00,400.00,138.98, -   
https://www.adb.org/projects/54364-001/main,"India: Enhancing Connectivity and Sustainability in Bihar Roads Project (4322/FY2023). Widen and upgrade about 265-km of state highways to improve transport connectivity and safety, including the six poorest rural districts in the state of Bihar. ",A,"By 2029:     
• Annual average daily traffic on project roads increased to 1,435.1 million vehicle-km (2021 baseline: 710.6 million vehicle-km).  
• Average travel time on the project roads reduced by 20% (2021 baseline: 2.08 minutes per km).  
• Reported serious and fatal crashes on the project roads reduced by 20% (2021 baseline: 64 per year). 
By 2028: 
• At least 265 km of state highways widened to two lanes and upgraded with climate- and disaster-resilient design and road safety features (2021 baseline: 0) (OP 1.3.1, OP 2.4.1, OP 3.2.5, OP 5.1.1).  
• EWCD-friendly features installed in at least 50 locations (2021 baseline:0) (OP 2.4.1). ",451.60,295.00,74.15,19.60, (0.50)
https://www.adb.org/projects/45296-006/main,"Philippines: Davao Public Transport Modernization Project (4324/FY2023). Establish a modern public bus transport system in Davao City, with modern electric buses and Euro-5 standard diesel buses, standardized operations and reliable timetables, an intelligent transport system to support bus operation, designated bus stops with shelters and lighting, and designated bus lanes in selected road sections. ",M,"By 2030:
•  A modern urban bus system operated more than about 670 km in length with a minimum of 5-minute headway (2021 baseline: No urban bus system) (OP 1.3.1, OP 4.1.2).
•  At least 800,000 passengers per day (of whom 45% are women) are carried by a reliable, efficient, and environment-friendly bus system (2017 baseline: 789,000 passengers of passenger utlity jeepneys, of whom 45% are women) (OP 1.3, OP 2.1.4, OP 4.1).
• Bus system operated with greenhouse gas emissions less than 430 CO2 equivalent tons per day (2017 baseline: estimated 724 CO2 equivalent tons per day) (OP 3.1).
By 2025:
• About 1,000 bus stops, 3 terminals, 5 depots, sidewalks, and pedestrian crossing facilities, with gender-responsive and socially inclusive design features constructed (2021 baseline: 0) (OP 1.3.1, OP 2.4.1, OP 4.1.2).
•  Bus fleets, with at least 350 electric buses, procured and delivered (2021 baseline: 0) (OP 1.3.1).","1,710.78","1,014.69",871.80,17.26, (1.34)
https://www.adb.org/projects/55307-001/main,"Bangladesh: Improving Urban Governance and Infrastructure Program (4328/FY2023). Improve urban governance and services in 88 pourashavas (municipalities) from 2024 to 2028, benefiting 7.6 million people. The program will strengthen institutional capacity for inclusive municipal governance and improve municipal infrastructure in terms of quality, access, resilience, and gender responsiveness.",A and M,"By 2028:
•  At least 900 km of stormwater drainage rehabilitated or reconstructed in at least 63 pourashavas (2022 baseline: 0 km) (DLI 8) (OP 4.1.2).
•  At least 1,500 km of roads rehabilitated or reconstructed to meet standards of gender responsiveness, resilience, safety, and accessibility in at least 63 pourashavas (2022 baseline: 0) (DLI 9) (OP 2.4.1, OP 3.2.5, OP 4.1.2).
•  At least seven climate-resilient and GESI-inclusive public facilities remodeled or developed (2022 baseline: not applicable) (DLI 10) (OP 2.5.2, OP 3.2.5, OP 4.1.2).",689.29,300.00,180.34,33.66, -   
https://www.adb.org/projects/57087-001/main,"Thailand: Energy Absolute Public Bus Electrification Project (4339/FY2023). Procure up to 1,500 electric buses (e-buses) to be used for public bus transportation services in Bangkok.",M,"By 2024:
•  At  least 1,500 new e-buses are produced and procured (2022 baseline: 0) (OP 3.1.3, OP 4.3.1).",187.50,62.50,62.50,0.00, -   
https://www.adb.org/projects/48186-008/main,"Mongolia: Regional Road Development and Maintenance Project, Phase 3 (4342/FY2023). Provide paved road connections incorporating climate adaptation and mitigation principles to ensure all-weather access between aimag capitals in Western Mongolia: Altai, Gobi-Altai to Uliastai, Zavkhan and Khovd, Khovd to Ulaangom, Uvs.",A,"By 2030: 
•  Average vehicle travel time from Uliastai to Altai reduced by at least 40% (2023 baseline: 280 minutes). 
 •  Average vehicle travel time from Myangad to Naranbulag–Ulaangom road junction reduced by at least 37% (2023 baseline: 210 minutes). 
 •  At least 75% of the project road sections achieved 3-star or better road-safety rating for all road user groups present on upgraded project roads (2023 baseline: not applicable). 
By 2029:     
•  163 km Khovd–Ulaangom road section upgraded, including rest stops with EWCD-friendly features, incorporating climate-resilience measures (2023 baseline: 0 km) (OP 1.3.1, OP 2.1.4, OP 2.4.1, OP 2.5.2, OP 3.2.5, OP 5.1.1, OP 7.1.1). 
•  100 km Uliastai–Altai road section upgraded, including rest  stops with EWCD-friendly features,b incorporating climate-resilience measures (2023 baseline: 0 km) (OP 1.3.1, OP 2.1.4, OP 2.4.1, OP 2.5.2, OP 3.2.5, OP 5.1.1, OP 7.1.1).  ",158.00,150.00,38.50,0.82, -   
https://www.adb.org/projects/56297-001/main,India: Nagpur Metro Urban Mobility Project (4469/FY2024): Develop four new metro rail extension corridors comprising 43.8 km route length to improve transport connectivity and further encourage a shift to low carbon transport in Nagpur. ,M,"By 2028: 
•   Travel time between Maharashtra Industrial Development Corporation–Kanhan River reduced by 1 hour compared to road travel (2023 baseline: 2 hours).
•   Average annual emission reduction of 12,478.29 tCO2e is estimated (2023 baseline: Not applicable). 
•   At least 75% of riders (including 75% female riders) reported positive experience of the Maha Metro operations in terms of safety, security, reliability, efficiency, punctuality, affordability, and accessibility (2024 baseline: Not applicable). 
•   Ridership after phase 2 completion will be 150,000 passengers per day (2023 baseline: 70,000 passengers. 
per day).
•   Travel time for education and employment, of women and girls living in metro catchment area, reduced by 10% (2024 baseline: to be conducted in year 1).
By 2028: 
•   43.8 km of standard-gauge electrified metro rail corridor constructed.
•   32 metro stations with safe, inclusive, universally accessible, and climate- and disaster-resilient features constructed and operational.",912.81,200.00,200.00,0.00, -   
